name,class
clip_1,1
clip_2,1
clip_3,1
clip_4,1
clip_5,1
clip_6,1
clip_7,1
clip_8,1
clip_9,1
clip_10,1
clip_11,1
clip_12,1
clip_13,1
clip_14,1
clip_15,1
clip_16,2
clip_17,2
clip_18,2
clip_19,2
clip_20,2
clip_21,2
clip_22,2
clip_23,2
clip_24,2
clip_25,2
clip_26,2
clip_27,2
clip_28,2
clip_29,2
clip_30,2
clip_31,2
clip_32,3
clip_33,3
clip_34,3
clip_35,3
clip_36,3
clip_37,3
clip_38,3
clip_39,3
clip_40,4
clip_41,4
clip_42,4
clip_43,4
clip_44,5
clip_45,5
clip_46,5
clip_47,5
clip_48,5
clip_49,5
clip_50,5
clip_51,5
clip_52,5
